batch_id,selected_request_id,origin,destination,max_wait,Transportation_min,Joby_min,Transportation_Joby_time_saving,pending_count,final_drop_penalty,assigned_vehicle,pickup_time,pickup_time_hhmm,delivery_time,delivery_time_hhmm,final_status
B2615,,3,5,7,50,10,40,2,1429200,,,,,,Overdue
B2616,R2616,4,2,5,56,8,48,1,1500700,0.0,709.0,17:29,720.0,17:40,Complete
B2617,,4,3,5,45,9,36,2,1389400,,,,,,Overdue
B2618,,1,3,5,49,8,41,2,1440100,,,,,,Overdue
B2619,,1,5,6,27,10,17,2,1200900,,,,,,Overdue
B2620,,1,7,5,55,9,46,2,1488500,,,,,,Overdue
B2621,,2,1,6,54,9,45,2,1475000,,,,,,Overdue
B2622,,3,1,6,51,8,43,2,1459100,,,,,,Overdue
B2623-1,,3,4,6,45,9,36,2,1388400,,,,,,Overdue
B2623-2,,3,4,6,45,9,36,2,1388400,,,,,,Overdue
B2624,,3,4,6,45,9,36,2,1388400,,,,,,Overdue
B2625,,3,5,7,50,10,40,2,1429200,,,,,,Overdue
B2626,,4,3,5,45,9,36,2,1389400,,,,,,Overdue
B2627,,4,7,5,57,9,48,2,1507500,,,,,,Overdue
B2628,,4,9,6,124,18,106,2,2091400,,,,,,Overdue
B2629,,7,1,5,56,9,47,2,1498500,,,,,,Overdue
B2630,,7,4,5,57,9,48,2,1507500,,,,,,Overdue
B2631,,8,4,5,76,14,62,2,1652200,,,,,,Overdue
B2632,,9,4,7,125,18,107,2,2100400,,,,,,Overdue
B2633,R2633,9,10,7,177,21,156,1,2574300,17.0,710.0,17:30,738.0,17:58,Complete
B2634,,10,3,9,83,17,66,2,1679800,,,,,,Overdue
B2635,,1,9,7,113,18,95,1,1964700,,,,,,Overdue
B2636,,1,10,7,61,15,46,1,1470400,,,,,,Overdue
B2637,,2,4,6,54,8,46,1,1479700,,,,,,Overdue
B2638,,4,7,5,57,9,48,1,1497500,,,,,,Overdue
B2639,,4,9,6,124,17,107,1,2081400,,,,,,Overdue
B2640,,4,10,6,68,14,54,1,1552900,,,,,,Overdue
B2641,,5,2,6,61,11,50,1,1521100,,,,,,Overdue
B2642,,9,4,7,125,17,108,1,2090400,,,,,,Overdue
B2643,,9,10,7,177,21,156,1,2574300,,,,,,Overdue
B2644,,10,3,9,83,17,66,1,1669800,,,,,,Overdue
B2645,,2,4,6,54,8,46,1,1479700,,,,,,Overdue
B2646,,3,4,6,45,9,36,1,1378400,,,,,,Overdue
B2647,,4,3,5,45,9,36,1,1379400,,,,,,Overdue
B2648,,4,10,6,68,14,54,1,1552900,,,,,,Overdue
B2649,,6,7,6,77,14,63,1,1641300,,,,,,Overdue
B2650,,8,6,6,110,19,91,1,1929000,,,,,,Overdue
B2651,,9,2,7,109,16,93,1,1943400,,,,,,Overdue
B2652,,10,3,9,83,17,66,1,1669800,,,,,,Overdue
B2653,,1,3,5,49,8,41,1,1430100,,,,,,Overdue
B2654,,1,5,6,27,9,18,1,1190900,,,,,,Overdue
B2655,,2,4,6,54,8,46,1,1479700,,,,,,Overdue
B2656,,2,5,6,59,11,48,1,1501100,,,,,,Overdue
B2657,,3,5,7,50,10,40,1,1419200,,,,,,Overdue
B2658,,3,10,10,83,17,66,2,1678800,,,,,,Overdue
B2659,,4,2,5,56,8,48,1,1500700,,,,,,Overdue
B2660,,4,7,5,57,9,48,1,1497500,,,,,,Overdue
B2661,,9,3,6,121,17,104,1,2058100,,,,,,Overdue
B2662,,1,6,5,23,9,14,1,1152600,,,,,,Overdue
B2663,,1,10,7,61,16,45,1,1470400,,,,,,Overdue
B2664,,2,4,6,54,8,46,1,1479700,,,,,,Overdue
B2665,,2,5,6,59,10,49,1,1501100,,,,,,Overdue
B2666,,3,4,6,45,9,36,1,1378400,,,,,,Overdue
B2667,,3,5,7,50,10,40,1,1419200,,,,,,Overdue
B2668,,4,2,5,56,8,48,1,1500700,,,,,,Overdue
B2669,,4,3,5,45,9,36,1,1379400,,,,,,Overdue
B2670,,4,7,5,57,9,48,1,1497500,,,,,,Overdue
B2671,,7,4,5,57,9,48,1,1497500,,,,,,Overdue
B2672,,9,4,7,125,18,107,1,2090400,,,,,,Overdue
B2673,,9,5,6,139,19,120,1,2215000,,,,,,Overdue
B2674,R2674,9,10,7,177,21,156,0,2564300,17.0,714.0,17:34,741.0,18:01,Complete
B2675,,1,2,5,54,9,45,1,1466000,,,,,,Overdue
B2676,,1,5,6,27,9,18,1,1190900,,,,,,Overdue
B2677,,1,7,5,55,9,46,1,1478500,,,,,,Overdue
B2678,,1,9,7,113,18,95,2,1974700,,,,,,Overdue
B2679,,3,4,6,45,9,36,1,1378400,,,,,,Overdue
B2680,,3,5,7,50,10,40,1,1419200,,,,,,Overdue
B2681,,3,10,10,83,17,66,2,1678800,,,,,,Overdue
B2682,,4,7,5,57,9,48,1,1497500,,,,,,Overdue
B2683,,7,4,5,57,9,48,1,1497500,,,,,,Overdue
B2684,,9,6,7,147,22,125,2,2272100,,,,,,Overdue
B2685,,1,2,5,54,9,45,1,1466000,,,,,,Overdue
B2686,,1,7,5,55,9,46,1,1478500,,,,,,Overdue
B2687,,2,1,6,54,9,45,1,1465000,,,,,,Overdue
B2688,,2,4,6,54,8,46,1,1479700,,,,,,Overdue
B2689,,3,1,6,51,8,43,1,1449100,,,,,,Overdue
B2690,,3,9,6,122,17,105,1,2068100,,,,,,Overdue
B2691,,5,1,5,27,10,17,1,1191900,,,,,,Overdue
B2692,,6,7,6,77,14,63,1,1641300,,,,,,Overdue
B2693,,7,1,5,56,9,47,1,1488500,,,,,,Overdue
B2694,,10,3,9,83,17,66,2,1679800,,,,,,Overdue
B2695,,10,4,5,66,14,52,1,1533900,,,,,,Overdue
B2696,,2,1,6,54,9,45,1,1465000,,,,,,Overdue
B2697,R2697,2,4,6,54,8,46,1,1479700,18.0,720.0,17:40,731.0,17:51,Complete
