batch_id,selected_request_id,origin,destination,max_wait,time_window_start,time_window_start_hhmm,time_window_end,time_window_end_hhmm,Transportation_min,Joby_min,Transportation_Joby_time_saving,pending_count,final_cost(원),assigned_vehicle,pickup_time,pickup_time_hhmm,delivery_time,delivery_time_hhmm,final_status
B3036,,8,6,5,777,18:37,782,18:42,101,19,82,4,283808,,,,,,Overdue
B3201,,2,6,9,798,18:58,807,19:07,85,13,72,3,282008,,,,,,Overdue
B3220,,2,6,9,800,19:00,809,19:09,85,13,72,3,282008,,,,,,Overdue
B3206,,9,4,7,802,19:02,809,19:09,99,17,82,3,280527,,,,,,Overdue
B3271,,1,3,6,805,19:05,811,19:11,62,8,54,3,293938,,,,,,Overdue
B3293,,4,7,5,810,19:10,815,19:15,58,9,49,2,282015,,,,,,Overdue
B3284,,1,5,6,810,19:10,816,19:16,38,10,28,4,349857,,,,,,Overdue
B3294,,4,8,6,814,19:14,820,19:20,76,13,63,3,282719,,,,,,Overdue
B3250,,6,9,7,814,19:14,821,19:21,128,22,106,4,277990,,,,,,Overdue
B3324,,1,5,6,816,19:16,822,19:22,38,9,29,3,324586,,,,,,Overdue
B3330,,1,3,6,816,19:16,822,19:22,62,8,54,3,293938,,,,,,Overdue
B3320,,2,5,7,816,19:16,823,19:23,69,10,59,3,290479,,,,,,Overdue
